date,duration,T,Wind,P,Rh,Precipitations,Cₐ,e,eₛ,VPD,ρ,λ,γ,ε,Δ,clearness,Ri_SW_f,Ri_PAR_f,Ri_NIR_f,Ri_TIR_f,Ri_custom_f,Ri_SW_f_direct,Ri_SW_f_diffuse
2025-11-06T23:00:00.0,1 hour,11.6,5.14,100.26,0.87,0.6,400.0,1.192914850399226,1.371166494711754,0.17825164431252793,1.2265730128623962,2.473566e6,0.06601205581289306,0.5669644704319435,0.09091619544698393,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T00:00:00.0,1 hour,11.9,4.76,100.32000000000001,0.87,0.7,400.0,1.216782582551105,1.3986006695989712,0.18181808704786628,1.2260153726320604,2.4728565e6,0.06607051152813567,0.5684857603679104,0.09251464829514777,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T01:00:00.0,1 hour,11.4,2.72,100.28,0.88,0.0,400.0,1.1907643064134819,1.3531412572880475,0.1623769508745656,1.2276799775012048,2.474039e6,0.0660126009315704,0.5668752393778794,0.08986372385931363,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T02:00:00.0,1 hour,10.7,2.17,100.32000000000001,0.9,0.0,400.0,1.1625162034734662,1.2916846705260734,0.1291684670526072,1.231198456821451,2.4756945e6,0.0659947719279076,0.5651331184625561,0.08626167238713567,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T03:00:00.0,1 hour,11.1,2.85,100.3,0.84,0.0,400.0,1.1142553744146595,1.3264944933507852,0.21223911893612568,1.229220790794611,2.4747485e6,0.06600683727797324,0.5616073462883955,0.0883045499052093,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T04:00:00.0,1 hour,11.4,2.42,100.31,0.82,0.0,400.0,1.109575830976199,1.3531412572880475,0.24356542631184852,1.2280472531227151,2.474039e6,0.0660323494160932,0.5611852243763268,0.08986372385931363,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T05:00:00.0,1 hour,11.6,2.11,100.35,0.82,0.0,400.0,1.124356525663638,1.371166494711754,0.2468099690481158,1.2276740658362404,2.473566e6,0.06607131259548989,0.5621906832193416,0.09091619544698393,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T06:00:00.0,1 hour,11.6,2.08,100.41,0.85,0.0,400.0,1.1654915205049907,1.371166494711754,0.20567497420676317,1.2284081011521364,2.473566e6,0.06611081711722114,0.5650839083683069,0.09091619544698393,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T07:00:00.0,1 hour,11.9,2.46,100.42999999999999,0.84,0.0,400.0,1.1748245624631357,1.3986006695989712,0.2237761071358355,1.2273596877336304,2.4728565e6,0.06614295726446039,0.5656430465589555,0.09251464829514777,Inf,4.0,1.92,2.08,Inf,Inf,0.0,4.0
2025-11-07T08:00:00.0,1 hour,12.9,1.97,100.44,0.81,0.0,400.0,1.2097910312915805,1.49356917443405,0.2837781431424695,1.2231907536485638,2.4704915e6,0.06621286815772348,0.5677338653814119,0.09801744390003586,Inf,74.0,35.519999999999996,38.480000000000004,Inf,Inf,28.0,46.0
2025-11-07T09:00:00.0,1 hour,14.9,1.43,100.49,0.71,0.0,400.0,1.20747420218516,1.700667890401634,0.4931936882164738,1.2153025361731393,2.4657615e6,0.06637290704816493,0.567013758115052,0.10986535659805785,Inf,242.0,116.16,125.84,Inf,Inf,166.0,76.0
2025-11-07T10:00:00.0,1 hour,16.2,0.85,100.49,0.65,0.0,400.0,1.2014859807681906,1.8484399704126007,0.6469539896444101,1.2098423899936852,2.462687e6,0.06645576918319045,0.5662468172176413,0.1182038117406603,Inf,356.0,170.88,185.12,Inf,Inf,260.0,96.0
2025-11-07T11:00:00.0,1 hour,17.0,0.4,100.49,0.62,0.0,400.0,1.2058241435573125,1.9448776508988912,0.7390535073415787,1.2065066191441418,2.460795e6,0.06650686418106495,0.5663150264900847,0.1235983186395706,Inf,404.0,193.92,210.08,Inf,Inf,295.0,109.0
